--------------------------------------------------------------------
            Voice Prompt file for TTS autogenerator
                   gemeinschaft sounds
--------------------------------------------------------------------


"filename";"de";"en";"comment";"type"
"1_aufnahme_nicht_erreichbar";"Drücken Sie eins, um eine Nachricht für den nicht erreichbar Status aufzunehmen.";"Press 1, to record your unavailable message.";;
"2_ansage_loeschen";"Drücken Sie zwei, um die aktuelle Ansage zu löschen.";"Press two to delete the current recording.";;
"agent-enterid";"Bitte geben Sie Ihre Agentennummer ein und drücken Sie die Rautetaste.";"Please enter your agent number, followed by the poundkey.";;
"aktiviert";"aktiviert";"activated";;
"alarm_change";"Um die Weckzeit zu ändern, drücken Sie die Stern-Taste. Um die Weckzeit zu löschen, drücken Sie die Raute-Taste.";"If you want to change the alarm time, please press star. To delete the alarm, press pound.";;
"alt";"alt";"old";;
"an";"an";"on";;
"an-diesem-telefon-ist-ein-agent-angemeldet";"An diesem Telefon ist ein Agent angemeldet! Bitte melden Sie zuerst den Agenten ab, bevor Sie sich in der Warteschlange anmelden.";"An agent is already logged on! Please log off the agent, before you log onto the queue.";;
"anklopfen";"anklopfen";"call waiting";;
"ansage_geloescht";"Die Ansage wurde gelöscht.";"Message deleted.";;
"auf-durchwahl";"auf Durchwahl";"at extension";;
"auf-wiedersehen";"auf wiedersehen";"Goodbye!";;
"aufzeichnen_fehler";"Beim Aufzeichnen der Ansage hat es einen Fehler gegeben.";"An error occured while recording the message.";;
"ausgeschaltet";"ausgeschaltet";"off";;
"bei";"bei";"at";;
"besetzt";"besetzt";"busy";;
"bitte-druecken-sie-1-fuer-deutsch-2-fuer-englisch";"Bitte drücken Sie die 1 für Deutsch oder die 2 für Englisch.";"Please press 1 for German - and two for English.";;
"bitte-geben-sie-ihre-durchwahl-nummer-ein";"Bitte geben Sie ihre Durchwahlnummer ein.";"Please enter your extension.";;
"bitte-warten-sie";"Bitte warten sie.";"Please wait.";;
"bitte-warten-sie-waehrend-ihr-telefon-neu-gestartet-wird";"Bitte warten Sie während ihr Telefon neu gestartet wird.";"Please wait, while your telephone is being restarted.";;
"danach-die";"danach die";"after that";;
"das";"das";"that";;
"das-gateway-ist-nicht-erreichbar";"Das Gateway ist nicht erreichbar.";"The gateway is unreachable.";;
"deaktiviert";"deaktiviert";"deactivated";;
"der";"der";"the";;
"der-teilnehmer";"Der Teilnehmer";"The called party";;
"der-teilnehmer-antwortet-nicht";"Der Teilnehmer antwortet nicht.";"The called party does not answer.";;
"der-teilnehmer-kann-ihren-anruft-nicht-beantworten";"Der Teilnehmer kann ihren Anruf nicht beantworten.";"The called party can not answer your call.";;
"der-teilnehmer-wurde-per-sms-informiert";"Der Teilnehmer wird per SMS informiert.";"The called party has been notified by S M S.";;
"die";"die";"the";;
"die-durchwahl";"Die Durchwahl";"The extension";;
"druecken";"drücken";"press";;
"druecken-sie";"drücken Sie";"Press";;
"druecken-sie-1-um-die-aufnahme-zu-speichern";"Drücken sie die 1 um die Aufnahme zu speichern.";"Press 1 to accept this recording, press two to listen to it, press three to rerecord your message.";;
"druecken-sie-danach-die-raute-taste";"Drücken Sie danach die Rautetaste.";"Followed by the poundkey.";;
"druecken-sie-die";"drücken Sie die";"Press";;
"druecken-sie-die-1-um-einen-automatischen-rueckruf-zu-programmieren";"Drücken Sie die 1 um einen automatischen Rückruf zu programmieren.";"Press 1 for automatic call-back.";;
"ein";"ein";"on";;
"eingeschaltet";"eingeschaltet";"turned onn";;
"eingestellt";"eingestellt";"set";;
"eins";"eins";"one";;
"erreichbar";"erreichbar";"available";;
"error";"Es ist ein Fehler aufgetreten.";"An error occurred.";;
"error_entry";"Die Eingabe ist ungültig. Geben Sie die gewünschte Weckzeit vierstellig über die Tastatur ein. Zum Beispiel null sieben eins fünf für 7 Uhr 15.";"Invalid input. Enter your desired alarm time using 4 digits. For example - 0 7 1 5 -  for a quarter past seven.";;
"error_wakeup_call_canclelled";"Beim Löschen des Weckrufes ist ein Fehler aufgetreten.";"An error occurred while cancelling the wake up call.";;
"extern";"extern";"external";;
"falsche-rufnummer-diese";"Die Rufnummer dieses Teilnehmers hat sich geändert, bitte wählen Sie";"The user's extension has changed. Please call";;
"falsche-rufnummer-unsere";"Unsere Rufnummer hat sich geändert, bitte wählen Sie";"Our telephone number has changed. Please call";;
"falsches-passwort";"falsches Passwort";"Incorrect password.";;
"fehler-beim-rufaufbau";"Fehler beim Rufaufbau.";"An error occured during call set-up.";;
"forward_target_enter";"Bitte geben Sie das Umleitungsziel ein, und drücken sie die Rautetaste.";"Please enter the call forward destination, followed by the pound key.";;
"fuer-anrufe";"für Anrufe";"for calls";;
"fuer-einen-automatischen-rueckruf-druecken-sie-die";"Für einen automatischen Rückruf drücken Sie die";"For automatic call-back please press";;
"ihr-telefon-wird-jetzt-neu-gestartet";"Ihr Telefon wird jetzt neu gestartet.";"Your telephone will be restarted now.";;
"immer";"immer";"always";;
"intern";"intern";"internal";;
"ist-jetzt-wieder-erreichbar";"ist jetzt wieder erreichbar.";"is available again";;
"kein";"kein";"no";;
"keine";"keine";"no";;
"klingeldauer";"Klingeldauer";"ring time";;
"kosten";"Kosten";"costs";;
"loeschen_fehler";"Beim Löschen der Ansage ist ein Fehler aufgetreten.";"An error occured, while deleting the recording.";;
"loeschen_ok";"Drücken Sie die Sterntaste, um die aktuelle Ansage zu löschen - oder die Rautetaste, um den Vorgang abzubrechen.";"Press star to delete the current recording. Press pound to abort.";;
"login-fehlgeschlagen";"Anmeldung fehlgeschlagen.";"Login failed";;
"nach";"nach";"after";;
"nein";"nein";"no";;
"neu";"neu";"new";;
"nicht";"nicht";"not";;
"nicht-abheben";"nicht abheben";"do not answer";;
"nicht-eingeloggt";"nicht angemeldet";"not logged on";;
"no_wakeup_call";"Es ist kein Weckruf programmiert.";"You have not requested a wake up call. ";;
"please-press-one-for-german-2-for-english";"Plihs press oann for jarmen, or tuh for Inglisch";"Please press 1 for german and 2 for english.";;
"privatgespraech";"Privatgespräch";"private call";;
"queue-all-busy";"Alle Mitarbeiter sind zur Zeit im Gespräch.";"All agents are busy.";;
"raute";"Raute";"pound";;
"raute_taste_verlassen";"Drücken Sie die Rautetaste zum verlassen.";"Press pound to exit.";;
"raute-taste";"Rautetaste";"pound key";;
"replace-vm-options";"Durch Drücken der Stern-Taste kommen Sie zurück ins Hauptmenü";"You have no permissions to dial this number.";;
"room_cleaned";"Zimmer gereinigt";"Room is cleaned.";;
"room_cleaned_checked";"Zimmer gereinigt und geprüft.";"Room is cleaned,  and checked.";;
"room_not_cleaned";"Zimmer nicht gereinigt.";"Room is not cleaned.";;
"rueckruf-programmiert";"Rückruf programmiert.";"call-back has been set";;
"rufumleitung";"Rufumleitung";"call forward";;
"rufumleitungsnummer";"Rufumleitungsnummer";"call forward destination";;
"sie-haben-ein-falsches-passwort-eingegeben";"Sie haben ein falsches Passwort eingegeben.";"You have entered the incorrect password.";;
"sie-haben-eine-rufumleitung-programmiert";"Sie haben eine Rufumleitung programmiert.";"You have set up call forward.";;
"sie-haben-keine-amtsberechtigung";"Sie haben keine Amtsberechtigung.";"You do not have permission for this kind of call.";;
"sie-haben-keine-berechtigung-fuer-diese-zielrufnummer";"Sie haben keine Berechtigung für diese Zielrufnummer.";"You do not have permission to call this number.";;
"sie-sind-abgemeldet";"Sie werden jetzt abgemeldet.";"You are now logged off.";;
"sie-sind-jetzt-angemeldet";"Sie werden jetzt angemeldet.";"Your are now logged on.";;
"standard";"Standard";"standard";;
"stern";"Stern";"star";;
"stern-taste";"Sterntaste";"star";;
"stoeren";"Stören";"disturb";;
"tschuess";"Tschüss";"goodbye";;
"um-eine-nachricht-zu-hinterlassen-druecken-sie-die";"Um eine Nachricht zu hinterlassen, drücken Sie die";"To leave a message, press?";;
"um-einen-rueckrufwunsch-per-sms-zu-senden-druecken-sie-die-taste-1";"Um einen Rückrufwunsch per SMS zu senden, drücken sie die Taste 1";"To request a call-back via SMS, press one.";;
"variable";"variable";"variable";;
"vielen-dank";"Vielen Dank!";"Thank you.";;
"von";"von";"fromm";;
"wakeup_call_announcement";"Dies ist Ihr gewünschter Weck ruf! Es ist jetzt";"This is your wake up call! The current time is";;
"wakeup_call_cancelled";"Ihr Weckruf wurde gelöscht.";"Your wake up call has been cancelled.";;
"wakeup_call_confirmed";"Weck ruf aktiviert für";"You have requested a wake up call - for";;
"wakeup_call_language_selection";"Weck ruf! Bitte drücken Sie Eins für Deutsch - oder Zwei für Englisch.";"Wake  up call. Please press one for german - or two for english.";;
"wakeup_call_request";"Geben Sie die gewünschte Weckzeit vierstellig über die Tastatur ein. Zum Beispiel null sieben eins fünf für 7 Uhr 15.";"Enter your desired alarm time using 4 digits. For example - 0 7 1 5 -  for a quarter past seven.";;
"wakeup_call_saved";"Ihr Weckruf wurde gespeichert.";"Your wakeup call has been saved.";;
"wenn-sie-warten-werden-sie-automatisch-mit-der-telefonzentrale-verbunden";"Wenn Sie warten, werden Sie automatisch mit der Telefonzentrale verbunden.";"Please wait, you will be connected to the switchboard.";;
"willkommen";"Wilkommen";"Welcome";;
